"Farm","cowid","Leave_Date"
38,1111,2023-10-23
38,1375,2023-07-07
38,6530,2022-10-25
38,6614,2023-01-31
38,6732,2023-05-16
38,6761,2023-09-06
38,6833,2023-04-05
38,6939,2022-10-05
38,7143,2022-11-02
38,7170,2023-01-16
38,7223,2023-03-22
38,7290,2023-04-05
38,7315,2023-08-16
38,7355,2023-02-09
38,7377,2022-12-26
38,7392,2022-12-07
38,7427,2022-10-25
38,7452,2022-10-09
38,7499,2023-09-19
38,7503,2023-01-02
38,7537,2022-10-12
38,7551,2023-03-07
38,7584,2022-12-07
38,7598,2022-11-16
38,7606,2023-02-27
38,7623,2023-05-31
38,7625,2023-04-05
38,7667,2023-05-16
38,7721,2023-05-31
38,7761,2023-08-16
38,7784,2023-08-03
38,7807,2023-08-16
38,7810,2022-12-26
38,7825,2023-01-31
38,7849,2022-11-15
38,7884,2023-01-02
38,7890,2023-01-31
38,7891,2023-05-31
38,7906,2023-02-09
38,7981,2022-10-13
38,7997,2022-11-16
38,8010,2023-06-20
38,8022,2023-02-20
38,8055,2023-01-31
38,8075,2023-05-16
38,8081,2022-10-17
38,8082,2023-01-02
38,8089,2022-10-25
38,8095,2022-11-16
38,8127,2023-09-06
38,8144,2023-10-18
38,8151,2023-05-16
38,8212,2023-05-16
38,8213,2023-10-18
38,8228,2023-08-21
38,8234,2022-12-07
38,8236,2022-10-05
38,8249,2022-11-16
38,8251,2022-10-05
38,8273,2023-01-16
38,8281,2023-01-31
38,8302,2023-07-07
38,8307,2023-01-28
38,8309,2023-07-04
38,8316,2023-05-27
38,8325,2023-08-02
38,8326,2023-06-20
38,8328,2022-12-07
38,8331,2023-05-16
38,8354,2022-12-07
38,8368,2023-11-07
38,8374,2023-01-11
38,8399,2023-04-04
38,8407,2022-10-05
38,8417,2023-08-03
38,8422,2023-01-31
38,8424,2023-07-19
38,8438,2022-12-08
38,8439,2023-05-16
38,8440,2022-12-21
38,8449,2023-09-17
38,8451,2023-04-19
38,8462,2022-12-14
38,8473,2023-10-12
38,8484,2023-04-19
38,8488,2023-07-04
38,8498,2022-10-05
38,8499,2022-10-05
38,8501,2023-01-11
38,8514,2022-11-16
38,8518,2023-01-16
38,8521,2023-02-20
38,8526,2023-10-02
38,8553,2023-07-04
38,8557,2023-02-20
38,8584,2022-12-26
38,8605,2023-11-07
38,8611,2023-08-03
38,8616,2023-09-15
38,8619,2023-01-02
38,8625,2022-11-16
38,8628,2023-06-20
38,8639,2023-04-19
38,8652,2023-06-22
38,8655,2022-10-25
38,8662,2023-08-16
38,8664,2023-07-19
38,8677,2022-12-07
38,8679,2022-12-28
38,8680,2022-12-07
38,8682,2023-10-18
38,8698,2022-12-28
38,8708,2022-12-08
38,8718,2023-02-20
38,8736,2022-12-26
38,8744,2023-05-05
38,8761,2023-10-03
38,8763,2022-11-16
38,8775,2022-10-05
38,8784,2022-10-05
38,8795,2023-10-18
38,8798,2023-03-07
38,8807,2023-04-19
38,8833,2023-05-19
38,8851,2023-01-11
38,8853,2023-10-18
38,8863,2023-01-31
38,8865,2022-12-26
38,8876,2023-01-16
38,8884,2023-09-19
38,8886,2023-03-24
38,8897,2023-07-19
38,8899,2023-08-21
38,8901,2022-10-25
38,8924,2023-04-10
38,8934,2023-06-14
38,8938,2022-11-25
38,8940,2023-03-07
38,8953,2023-01-08
38,8958,2023-08-16
38,8972,2023-11-07
38,8973,2023-02-20
38,9003,2023-03-22
38,9006,2023-04-28
38,9008,2023-11-07
38,9015,2023-02-20
38,9019,2023-10-03
38,9027,2022-12-26
38,9042,2023-09-21
38,9047,2023-09-11
38,9059,2023-02-22
38,9060,2022-10-25
38,9066,2023-10-03
38,9067,2023-08-03
38,9077,2023-08-21
38,9085,2023-05-16
38,9089,2022-11-16
38,9096,2023-01-31
38,9098,2022-11-28
38,9099,2023-06-20
38,9104,2023-11-07
38,9111,2022-10-05
38,9113,2022-10-06
38,9119,2023-07-04
38,9126,2022-10-09
38,9129,2023-01-08
38,9130,2023-03-22
38,9136,2023-03-22
38,9148,2023-01-06
38,9151,2023-04-20
38,9156,2023-07-04
38,9159,2022-12-26
38,9160,2022-12-26
38,9161,2023-10-18
38,9169,2022-12-07
38,9177,2023-07-15
38,9183,2022-10-12
38,9184,2023-04-20
38,9186,2023-05-31
38,9187,2023-07-19
38,9194,2023-06-20
38,9198,2023-07-19
38,9200,2023-05-16
38,9205,2022-11-17
38,9207,2023-07-09
38,9211,2022-12-08
38,9214,2023-10-12
38,9220,2023-05-16
38,9222,2023-08-16
38,9230,2023-10-03
38,9231,2023-08-03
38,9232,2023-08-16
38,9233,2023-03-25
38,9249,2023-05-31
38,9253,2023-09-06
38,9254,2023-02-11
38,9280,2023-05-31
38,9281,2023-06-20
38,9286,2022-12-07
38,9291,2023-04-30
38,9295,2023-06-26
38,9297,2022-12-26
38,9300,2023-01-16
38,9308,2023-03-22
38,9313,2023-02-18
38,9314,2023-01-26
38,9320,2023-03-29
38,9326,2023-07-25
38,9328,2023-08-24
38,9336,2023-01-16
38,9360,2023-05-16
38,9374,2023-04-19
38,9383,2023-10-12
38,9388,2023-07-04
38,9393,2023-07-19
38,9397,2023-06-11
38,9405,2023-05-31
38,9407,2023-06-06
38,9409,2023-04-30
38,9414,2023-10-18
38,9416,2023-10-18
38,9420,2023-02-20
38,9426,2023-08-03
38,9428,2023-03-07
38,9437,2022-10-05
38,9440,2022-12-10
38,9443,2023-11-07
38,9446,2023-04-19
38,9460,2023-01-31
38,9471,2023-02-20
38,9481,2023-05-16
38,9484,2023-06-20
38,9485,2023-03-08
38,9495,2023-06-26
38,9498,2023-07-19
38,9502,2022-10-25
38,9509,2022-11-06
38,9515,2023-08-03
38,9520,2023-04-19
38,9522,2023-07-04
38,9527,2022-12-07
38,9532,2023-09-06
38,9549,2023-09-21
38,9557,2023-04-27
38,9577,2022-12-26
38,9579,2023-08-16
38,9585,2023-01-09
38,9593,2022-10-25
38,9612,2023-10-01
38,9629,2023-07-19
38,9631,2023-03-22
38,9639,2023-04-19
38,9640,2023-02-20
38,9647,2022-12-21
38,9650,2023-05-17
38,9651,2023-01-02
38,9654,2023-07-04
38,9655,2023-04-19
38,9714,2023-06-11
38,9715,2023-02-07
38,9716,2022-10-25
38,9718,2022-10-25
38,9723,2023-01-16
38,9744,2022-11-22
38,9760,2022-10-25
38,9766,2022-12-06
38,9778,2023-01-26
38,9786,2023-01-02
38,9792,2023-02-22
38,9795,2023-04-27
38,9805,2022-11-17
38,9813,2023-04-19
38,9822,2022-10-13
38,9829,2023-01-16
38,9837,2023-09-06
38,9844,2023-02-09
38,9851,2023-03-22
38,9858,2022-12-26
38,9867,2023-04-18
38,9875,2023-07-19
38,9876,2023-06-20
38,9884,2022-10-05
38,9889,2023-01-16
38,9890,2023-04-19
38,9891,2023-11-07
38,9893,2023-06-06
38,9912,2023-02-20
38,9930,2023-04-20
38,9958,2023-10-03
38,9962,2022-10-25
38,9963,2023-05-16
38,9966,2022-10-30
38,9971,2023-10-02
38,9973,2023-05-27
38,9975,2023-05-31
38,9982,2023-03-22
38,10011,2023-10-05
38,10014,2023-02-20
38,10018,2023-07-19
38,10022,2023-08-07
38,10039,2023-05-31
38,10044,2023-03-22
38,10075,2022-10-25
38,10089,2023-10-23
38,10094,2022-10-31
38,10097,2023-08-03
38,10104,2022-11-28
38,10105,2023-01-02
38,10128,2023-06-26
38,10131,2023-04-10
38,10139,2022-12-26
38,10140,2023-01-08
38,10142,2023-01-31
38,10148,2023-06-20
38,10154,2022-12-26
38,10157,2023-02-17
38,10158,2023-02-20
38,10166,2023-08-16
38,10180,2023-07-15
38,10185,2022-12-07
38,10193,2023-03-07
38,10200,2023-01-18
38,10203,2022-11-16
38,10208,2022-11-28
38,10209,2023-08-16
38,10224,2023-03-22
38,10226,2023-09-25
38,10231,2023-02-09
38,10253,2023-02-20
38,10254,2023-03-13
38,10262,2023-01-11
38,10266,2022-11-15
38,10267,2022-10-05
38,10270,2022-12-26
38,10271,2023-03-07
38,10272,2022-10-25
38,10279,2022-10-25
38,10287,2023-09-06
38,10290,2023-09-19
38,10292,2022-12-07
38,10296,2023-05-03
38,10302,2023-05-16
38,10314,2023-10-18
38,10315,2022-11-16
38,10318,2023-04-28
38,10322,2023-01-16
38,10324,2023-11-07
38,10346,2023-03-07
38,10347,2023-04-19
38,10351,2023-08-03
38,10357,2023-07-19
38,10358,2023-02-20
38,10360,2023-03-07
38,10383,2022-10-05
38,10386,2023-03-31
38,10391,2023-04-19
38,10392,2023-04-08
38,10420,2022-12-07
38,10426,2023-08-03
38,10430,2023-09-19
38,10436,2023-01-02
38,10442,2023-03-07
38,10446,2022-10-25
38,10450,2023-03-14
38,10454,2023-07-19
38,10462,2023-05-18
38,10465,2023-02-22
38,10466,2023-08-03
38,10490,2022-11-13
38,10491,2023-06-20
38,10492,2022-11-16
38,10503,2023-11-07
38,10504,2023-05-31
38,10507,2022-10-25
38,10508,2023-06-20
38,10511,2022-11-16
38,10513,2023-01-02
38,10518,2023-07-04
38,10520,2023-04-28
38,10522,2022-10-02
38,10523,2023-05-16
38,10533,2023-01-08
38,10538,2023-09-19
38,10541,2023-09-19
38,10542,2023-01-23
38,10553,2023-07-19
38,10556,2023-02-22
38,10559,2023-08-07
38,10564,2022-12-07
38,10571,2023-10-23
38,10577,2023-08-16
38,10578,2023-03-07
38,10584,2022-11-16
38,10596,2023-01-02
38,10600,2023-03-12
38,10610,2023-03-07
38,10614,2023-07-04
38,10616,2023-04-29
38,10619,2023-07-04
38,10627,2023-01-31
38,10630,2023-05-16
38,10634,2023-01-26
38,10635,2023-10-18
38,10651,2023-11-07
38,10657,2022-10-05
38,10659,2023-04-29
38,10666,2023-06-20
38,10667,2023-06-06
38,10672,2023-03-14
38,10675,2023-05-31
38,10679,2022-12-19
38,10681,2022-11-16
38,10683,2023-05-16
38,10684,2023-06-13
38,10693,2023-03-08
38,10695,2023-04-29
38,10700,2023-01-16
38,10702,2022-10-17
38,10704,2022-10-25
38,10708,2023-03-07
38,10715,2023-01-02
38,10717,2023-03-23
38,10745,2023-05-31
38,10751,2023-09-25
38,10758,2023-10-18
38,10761,2023-03-15
38,10776,2023-02-16
38,10786,2023-04-29
38,10805,2023-09-06
38,10830,2023-08-16
38,10845,2023-05-05
38,10848,2023-07-04
38,10850,2023-07-04
38,10853,2023-08-11
38,10855,2023-01-31
38,10873,2023-01-16
38,10878,2023-11-07
38,10883,2023-03-20
38,10885,2023-03-22
38,10890,2023-02-27
38,10892,2023-04-29
38,10896,2023-05-17
38,10900,2022-10-05
38,10905,2023-02-20
38,10910,2023-08-03
38,10931,2023-08-03
38,10944,2022-10-20
38,10945,2023-05-31
38,10946,2023-10-02
38,10953,2023-07-19
38,10974,2023-05-18
38,10975,2023-07-19
38,10994,2022-10-20
38,11005,2023-09-06
38,11006,2023-11-06
38,11009,2023-10-18
38,11035,2023-04-05
38,11039,2022-11-16
38,11043,2023-07-04
38,11047,2023-09-19
38,11070,2023-04-30
38,11079,2022-10-05
38,11088,2023-01-13
38,11096,2023-01-16
38,11108,2023-04-05
38,11120,2022-10-05
38,11137,2023-10-12
38,11141,2022-12-26
38,11144,2022-10-05
38,11148,2023-09-19
38,11155,2023-04-30
38,11163,2023-01-16
38,11190,2023-10-18
38,11196,2023-03-14
38,11200,2023-04-19
38,11208,2023-09-06
38,11210,2023-09-19
38,11213,2023-01-31
38,11216,2023-05-05
38,11220,2023-08-16
38,11223,2023-01-22
38,11232,2023-10-03
38,11245,2022-12-08
38,11251,2023-09-06
38,11256,2023-04-28
38,11257,2023-04-20
38,11269,2022-11-02
38,11284,2022-12-07
38,11287,2023-10-06
38,11289,2023-04-30
38,11290,2023-09-19
38,11291,2023-07-19
38,11299,2023-04-05
38,11303,2023-10-03
38,11306,2022-10-23
38,11309,2023-02-01
38,11313,2022-11-10
