"Farm","cowid","Event","Days_In_Milk","Event_Date","Recode_Protos"
38,14,"NO_LESION",95,2023-06-19,"Trim Only"
38,181,"NO_LESION",204,2023-08-28,"Trim Only"
38,231,"LAME",209,2023-09-07,"DigitalDermatitis"
38,261,"NO_LESION",207,2023-09-25,"Trim Only"
38,271,"LAME",205,2023-10-09,"DigitalDermatitis"
38,281,"NO_LESION",210,2023-09-25,"Trim Only"
38,301,"NO_LESION",203,2023-10-09,"Trim Only"
38,311,"NO_LESION",200,2023-10-09,"Trim Only"
38,361,"NO_LESION",206,2023-10-23,"Trim Only"
38,391,"NO_LESION",79,2023-10-23,"Trim Only"
38,421,"NO_LESION",78,2023-10-02,"Trim Only"
38,431,"NO_LESION",83,2023-08-28,"Trim Only"
38,441,"NO_LESION",81,2023-08-28,"Trim Only"
38,461,"NO_LESION",81,2023-09-25,"Trim Only"
38,471,"NO_LESION",71,2023-09-07,"Trim Only"
38,481,"NO_LESION",84,2023-09-25,"Trim Only"
38,491,"NO_LESION",80,2023-11-06,"Trim Only"
38,501,"NO_LESION",20,2023-09-07,"Trim Only"
38,730,"NO_LESION",204,2023-10-09,"Trim Only"
38,800,"NO_LESION",117,2023-08-14,"Trim Only"
38,800,"NO_LESION",201,2023-11-06,"Trim Only"
38,1041,"NO_LESION",71,2023-09-07,"Trim Only"
38,1061,"NO_LESION",87,2023-08-14,"Trim Only"
38,1101,"NO_LESION",80,2023-10-09,"Trim Only"
38,1111,"NO_LESION",93,2023-08-28,"Trim Only"
38,1121,"NO_LESION",92,2023-08-14,"Trim Only"
38,1191,"NO_LESION",79,2023-09-25,"Trim Only"
38,1339,"NO_LESION",196,2023-06-19,"Trim Only"
38,1343,"NO_LESION",103,2023-06-19,"Trim Only"
38,1343,"NO_LESION",201,2023-09-25,"Trim Only"
38,1354,"NO_LESION",213,2023-07-24,"Trim Only"
38,1362,"NO_LESION",196,2023-06-19,"Trim Only"
38,1362,"NO_LESION",308,2023-10-09,"Trim Only"
38,1365,"NO_LESION",193,2023-06-19,"Trim Only"
38,1365,"NO_LESION",305,2023-10-09,"Trim Only"
38,1373,"NO_LESION",98,2023-06-08,"Trim Only"
38,1373,"NO_LESION",207,2023-09-25,"Trim Only"
38,1410,"NO_LESION",87,2023-06-01,"Trim Only"
38,1410,"NO_LESION",196,2023-09-18,"Trim Only"
38,1414,"NO_LESION",72,2023-06-05,"Trim Only"
38,1414,"NO_LESION",205,2023-10-16,"Trim Only"
38,1415,"NO_LESION",91,2023-06-01,"Trim Only"
38,1415,"NO_LESION",200,2023-09-18,"Trim Only"
38,1420,"NO_LESION",86,2023-06-01,"Trim Only"
