"_provider_name","_owner_id","_transfer_id","_date_collected","_record_id","_process_id","stage_name","src_tag_id","birth_date","birth_weight","breed","sex","dam_breed","dam_id","dam_ear_tag_id","dam_registration_num","ear_tag_id","registration_num","sire_id","sire_registration_num","today_date","barn_name","control_num","enroll_date","perm_string_pen","source_farm","305_day_mature_herd_equiv","abortion_date","abortion_determination_date","calf_sex_last_sire","beef_withdrawal_date","bullpen_entry_date","condition","conception_date","calf_livability","dry_date","src_days_dry","src_days_in_milk","src_days_open","due_to_freshen","calving_ease","embryo_transfer_dam","fresh_date","heat_date","hospital_date","heat_interval","first_to_grower_date","lactation_num","last_treatment_date","last_service_sire","mature_equivalent_factor","current_test_day_milk","milk_withdrawal_date","pregnant_open_date","recheck_date","reproduction","first_sire_preference","second_sire_preference","third_sire_preference","forth_sire_preference","sire_of_conception","sample_status","ovsynch_enrollment_date","times_bred","test_date","twin_code","vet_code","vet_check_date","reason_vet_check","weight_grower","src_pen_id","COMP#","BREED","DAMID","DMTAG","LMSV","LMSFD","TDAT","MILK","WMK1","TWIN","XLAME","LXLAM"
"dc305_animals",38,"FILEOUT93_6502af7eb33f02de8fbd352b","2023-09-14T07:00:40.891Z","6502af99e8fdd5d4a0085653","6502af98120a46269f2be432","Pregnant",14,"0000-00-00",NA,NA,"Female","H",NA,NA,NA,"840003203953598","840003203953598",NA,NA,"2023-09-14","14",NA,"2023-04-07",0,NA,NA,"0000-00-00","0000-00-00",NA,"0000-00-00","0000-00-00",NA,"2023-05-25",NA,"0000-00-00",67,183,70,"2024-02-29",NA,NA,"0000-00-00","0000-00-00","0000-00-00",0,"0000-00-00",2,"0000-00-00","829XB116",104,86,0,"0000-00-00","0000-00-00","PREG","BEEF",NA,NA,NA,"829XB116","0001","0000-00-00",1,"2023-08-29",NA,"000","2023-08-08",NA,NA,NA,"000014","H","0000000008","73945962","0025","09/13/23","08/29/23","000086",NA,"-","00000","00000"
"dc305_animals",38,"FILEOUT93_6502af7eb33f02de8fbd352b","2023-09-14T07:00:40.891Z","6502af99e8fdd5d4a0085654","6502af98120a46269f2be432","Pregnant",181,"0000-00-00",NA,NA,"Female","H",NA,NA,NA,"41LEJ6925",NA,NA,NA,"2023-09-14","181R",NA,"2021-01-08",0,NA,NA,"0000-00-00","0000-00-00",NA,"0000-00-00","0000-00-00",NA,"2023-06-11",NA,"0000-00-00",0,222,126,"2024-03-17",NA,NA,"0000-00-00","0000-00-00","0000-00-00",43,"0000-00-00",1,"0000-00-00","200H12374",122,83,0,"0000-00-00","0000-00-00","PREG","BEEF",NA,NA,NA,"200H12374","0002","0000-00-00",2,"2023-08-29",NA,"000","2023-08-22",NA,NA,NA,"000000","H","0000001516","143499866","0018","09/13/23","08/29/23","000083",NA,"T","00000","00000"
"dc305_animals",38,"FILEOUT93_6502af7eb33f02de8fbd352b","2023-09-14T07:00:40.891Z","6502af99e8fdd5d4a0085655","6502af98120a46269f2be432","Pregnant",231,"0000-00-00",NA,NA,"Female","H",NA,NA,NA,"41LEJ6931",NA,NA,"840003129340690","2023-09-14","231",NA,"2021-02-21",0,NA,NA,"0000-00-00","0000-00-00",NA,"0000-00-00","0000-00-00",NA,"2023-05-10",NA,"0000-00-00",0,217,89,"2024-02-14",NA,NA,"0000-00-00","0000-00-00","0000-00-00",0,"0000-00-00",1,"0000-00-00","200H12374",126,84,0,"0000-00-00","0000-00-00","PREG","629H20816","629H20544",NA,NA,"200H12374","0002","0000-00-00",1,"2023-08-29",NA,"000","2023-08-08",NA,NA,NA,"000000","H","0000001690","41LDT8147","0028","09/13/23","08/29/23","000084",NA,"-","00001","00000"
"dc305_animals",38,"FILEOUT93_6502af7eb33f02de8fbd352b","2023-09-14T07:00:40.891Z","6502af99e8fdd5d4a0085656","6502af98120a46269f2be432","Pregnant",261,"0000-00-00",NA,NA,"Female","H",NA,NA,NA,"41LEJ6936",NA,NA,"840003199699371","2023-09-14","261R",NA,"2021-03-16",0,NA,NA,"0000-00-00","0000-00-00",NA,"0000-00-00","0000-00-00",NA,"2023-07-03",NA,"0000-00-00",0,197,123,"2024-04-08",NA,NA,"0000-00-00","0000-00-00","0000-00-00",0,"0000-00-00",1,"0000-00-00","7H15424",127,87,0,"0000-00-00","0000-00-00","PREG","629H20538","629H20593",NA,NA,"7H15424","0002","0000-00-00",1,"2023-08-29",NA,"000","2023-09-12",NA,NA,NA,"000000","H","0000001027","144509191","0036","09/13/23","08/29/23","000087",NA,"-","00000","00000"
"dc305_animals",38,"FILEOUT93_6502af7eb33f02de8fbd352b","2023-09-14T07:00:40.891Z","6502af99e8fdd5d4a0085657","6502af98120a46269f2be432","Pregnant",271,"0000-00-00",NA,NA,"Female","H",NA,NA,NA,"41LEJ6937",NA,NA,NA,"2023-09-14","271R",NA,"2021-03-19",0,NA,NA,"0000-00-00","0000-00-00",NA,"0000-00-00","0000-00-00",NA,"2023-07-29",NA,"0000-00-00",0,181,133,"2024-05-04",NA,NA,"0000-00-00","0000-00-00","0000-00-00",25,"0000-00-00",1,"0000-00-00","629H19973",125,76,0,"0000-00-00","0000-00-00","PREG","BEEF",NA,NA,NA,"629H19973","0002","2023-08-08",2,"2023-08-29",NA,"000","2023-09-12",NA,NA,NA,"000000","H","0000001697","144793534","0021","09/13/23","08/29/23","000076",NA,"-","00000","00000"
"dc305_animals",38,"FILEOUT93_6502af7eb33f02de8fbd352b","2023-09-14T07:00:40.891Z","6502af99e8fdd5d4a0085658","6502af98120a46269f2be432","Pregnant",281,"0000-00-00",NA,NA,"Female","H",NA,NA,NA,"41LEJ6938",NA,NA,NA,"2023-09-14","281R",NA,"2021-03-21",0,NA,NA,"0000-00-00","0000-00-00",NA,"0000-00-00","0000-00-00",NA,"2023-05-31",NA,"0000-00-00",0,200,93,"2024-03-06",NA,NA,"0000-00-00","0000-00-00","0000-00-00",0,"0000-00-00",1,"0000-00-00","7H16099",126,75,0,"0000-00-00","0000-00-00","PREG","629H20538","629H20544",NA,NA,"7H16099","0002","0000-00-00",1,"2023-08-29",NA,"000","2023-08-15",NA,NA,NA,"000000","H","0000001701","41LDT8168","0025","09/13/23","08/29/23","000075",NA,"-","00000","00000"
"dc305_animals",38,"FILEOUT93_6502af7eb33f02de8fbd352b","2023-09-14T07:00:40.891Z","6502af99e8fdd5d4a0085659","6502af98120a46269f2be432","Breeding",301,"0000-00-00",NA,NA,"Female","H",NA,NA,NA,"41LEJ6940",NA,NA,NA,"2023-09-14","301",NA,"2021-03-25",0,NA,NA,"0000-00-00","0000-00-00",NA,"0000-00-00","0000-00-00",NA,"0000-00-00",NA,"0000-00-00",0,179,178,"0000-00-00",NA,NA,"0000-00-00","0000-00-00","0000-00-00",24,"0000-00-00",1,"0000-00-00","829XB171",125,76,0,"0000-00-00","0000-00-00","BRED","629H20816","629H20836",NA,NA,NA,"0002","2023-06-20",3,"2023-08-29",NA,"000","2023-07-25",NA,NA,NA,"000000","H","0000001693","41LDT8153","0031","09/13/23","08/29/23","000076",NA,"-","00000","00000"
"dc305_animals",38,"FILEOUT93_6502af7eb33f02de8fbd352b","2023-09-14T07:00:40.891Z","6502af99e8fdd5d4a008565a","6502af98120a46269f2be432","Pregnant",311,"0000-00-00",NA,NA,"Female","H",NA,NA,NA,"41LEJ6942","145388511",NA,"840003199699371","2023-09-14","311R",NA,"2021-03-28",0,NA,NA,"0000-00-00","0000-00-00",NA,"0000-00-00","0000-00-00",NA,"2023-07-28",NA,"0000-00-00",0,176,127,"2024-05-03",NA,NA,"0000-00-00","0000-00-00","0000-00-00",0,"0000-00-00",1,"0000-00-00","629H20538",125,87,0,"0000-00-00","0000-00-00","PREG","BEEF",NA,NA,NA,"629H20538","0002","0000-00-00",1,"2023-08-29",NA,"000","2023-09-05",NA,NA,NA,"000000","H","0000001699","144793552","0025","09/13/23","08/29/23","000087",NA,"-","00000","00000"
"dc305_animals",38,"FILEOUT93_6502af7eb33f02de8fbd352b","2023-09-14T07:00:40.891Z","6502af99e8fdd5d4a008565b","6502af98120a46269f2be432","Pregnant",361,"0000-00-00",NA,NA,"Female","H",NA,NA,NA,"41LEJ6949","145388557",NA,NA,"2023-09-14","361PR",NA,"2021-04-19",0,NA,NA,"0000-00-00","0000-00-00",NA,"0000-00-00","0000-00-00",NA,"2023-07-12",NA,"0000-00-00",0,168,103,"2024-04-17",NA,NA,"0000-00-00","0000-00-00","0000-00-00",0,"0000-00-00",1,"0000-00-00","829XB116",127,91,0,"0000-00-00","0000-00-00","PREG","629H20816","629H20544",NA,NA,"829XB116","0002","0000-00-00",1,"2023-08-29",NA,"000","2023-08-22",NA,NA,NA,"000000","H","0000001703","144793598","0027","09/13/23","08/29/23","000091",NA,"-","00000","00000"
"dc305_animals",38,"FILEOUT93_6502af7eb33f02de8fbd352b","2023-09-14T07:00:40.891Z","6502af99e8fdd5d4a008565c","6502af98120a46269f2be432","Voluntary Waiting Period",391,"0000-00-00",NA,NA,"Female","H",NA,NA,NA,"41LEJ6955",NA,NA,"840003129340690","2023-09-14","391",NA,"2021-05-16",0,NA,NA,"0000-00-00","0000-00-00",NA,"0000-00-00","0000-00-00",NA,"0000-00-00",NA,"0000-00-00",0,41,40,"0000-00-00",NA,NA,"0000-00-00","0000-00-00","0000-00-00",0,"0000-00-00",1,"0000-00-00",NA,129,75,0,"0000-00-00","0000-00-00","FRESH","629H19773","629H20816",NA,NA,NA,"0002","2023-09-05",0,"2023-08-29",NA,"000","0000-00-00",NA,NA,NA,"000000","H","0000001706","41LDT8179","0027","09/13/23","08/29/23","000075",NA,"-","00000","00000"
