"","_date_collected","_hash_key","_owner_id","_process_id","_provider_name","_record_id","_transfer_id","bred_gap","bred_reason","bred_result","breeding_code","days_in_milk","event_date","event_time_local","event_time_utc","from_pen_id","remark","result","src_event_id","src_protocol","src_tag_id","src_technician_id","src_descr","technician_name","to_pen_id"
"1","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e6c66","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",145,"2023-08-08",NA,NA,NA,"75 DAYS",NA,"OK",NA,14,NA,NA,NA,NA
"2","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e6c67","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",198,"2023-08-22",NA,NA,NA,"72 DAYS",NA,"OK",NA,181,NA,NA,NA,NA
"3","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e6c68","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",204,"2023-08-28",NA,NA,NA,"NONE",NA,"FOOTRIM",NA,181,NA,NA,NA,NA
"4","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e6c69","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",172,"2023-08-01",NA,NA,NA,"HFR",NA,"OK",NA,231,NA,NA,NA,NA
"5","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e6c6a","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",179,"2023-08-08",NA,NA,NA,"90 DAYS",NA,"OK",NA,231,NA,NA,NA,NA
"6","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e6c6b","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",209,"2023-09-07",NA,NA,NA,"TETDLR",NA,"LAME","HairyHeel (D)",231,NA,NA,NA,NA
"7","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e6c6c","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"Y",133,"2023-07-29",NA,NA,NA,"629H19973",NA,"BRED",NA,271,"7",NA,"Trinity",NA
"8","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e6c6d","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",169,"2023-08-15",NA,NA,NA,"TWINS",NA,"OK",NA,281,NA,NA,NA,NA
"9","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e6c6e","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"W",153,"2023-08-20",NA,NA,NA,"629H19773",NA,"BRED",NA,301,"3",NA,"Walter",NA
"10","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e6c6f","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",0,"2023-08-05",NA,NA,NA,NA,NA,"FRESH",NA,391,NA,NA,NA,NA
"11","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e6c70","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",3,"2023-08-08",NA,NA,NA,"FR",NA,"FLAG",NA,391,NA,NA,NA,NA
"12","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e6c71","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",20,"2023-08-25",NA,NA,NA,"F005T008",NA,"MOVE",NA,391,NA,NA,NA,NA
"13","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e6c72","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",35,"2023-09-09",NA,NA,NA,"MLV",NA,"VACC",NA,391,NA,NA,NA,NA
"14","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e6c73","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",19,"2023-08-04",NA,NA,NA,"F005T006",NA,"MOVE",NA,421,NA,NA,NA,NA
"15","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e6c74","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",32,"2023-08-17",NA,NA,NA,"MLV",NA,"VACC",NA,421,NA,NA,NA,NA
"16","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e6c75","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",40,"2023-08-25",NA,NA,NA,"BOVILLIS",NA,"VACC",NA,421,NA,NA,NA,NA
"17","2023-09-11T06:00:41.912Z",NA,38,"64fead09325067d3583775b9","dc305_events","64fead0a11c26e47ea0e6c76","EVT99_64feacf09ef0c9b377b3fc81",NA,NA,NA,"",70,"2023-08-15",NA,NA,NA,"LUT",NA,"OK",NA,431,NA,NA,NA,NA
